지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
129,서산,2021-02-01 00:00,4.9,.5,340,83,8
129,서산,2021-02-01 01:00,5.3,.9,290,83,8
129,서산,2021-02-01 02:00,6.8,1.2,230,86,8
129,서산,2021-02-01 03:00,7,1,230,94,10
129,서산,2021-02-01 04:00,7.1,2,200,97,6
129,서산,2021-02-01 05:00,7.1,2.5,180,98,9
129,서산,2021-02-01 06:00,7.1,2.1,200,98,8
129,서산,2021-02-01 07:00,7.3,2.1,230,98,4
129,서산,2021-02-01 08:00,6.8,1.4,180,98,7
129,서산,2021-02-01 09:00,6.9,.8,180,98,4
129,서산,2021-02-01 10:00,7.4,1.4,180,98,6
129,서산,2021-02-01 11:00,8.1,3.6,200,91,7
129,서산,2021-02-01 12:00,8.2,2.8,200,84,7
129,서산,2021-02-01 13:00,7.9,4.4,230,86,9
129,서산,2021-02-01 14:00,8.8,3.8,230,87,9
129,서산,2021-02-01 15:00,8.1,3.3,200,88,8
129,서산,2021-02-01 16:00,8.2,2,290,82,8
129,서산,2021-02-01 17:00,6.1,3.1,290,83,9
129,서산,2021-02-01 18:00,5.3,3.9,320,82,8
129,서산,2021-02-01 19:00,3.6,1.7,320,87,4
129,서산,2021-02-01 20:00,2.4,2.2,290,86,7
129,서산,2021-02-01 21:00,2.5,2.9,320,77,8
129,서산,2021-02-01 22:00,1.7,3.9,320,65,4
129,서산,2021-02-01 23:00,.8,4.3,290,67,0
129,서산,2021-02-02 00:00,-.9,5.9,320,53,6
129,서산,2021-02-02 01:00,-1.7,3.2,340,44,0
129,서산,2021-02-02 02:00,-2,3.7,340,38,0
129,서산,2021-02-02 03:00,-2,4.9,340,41,0
129,서산,2021-02-02 04:00,-2.9,4.2,320,47,0
129,서산,2021-02-02 05:00,-3.3,5.4,340,39,0
129,서산,2021-02-02 06:00,-4.2,4.7,320,43,0
129,서산,2021-02-02 07:00,-4.8,2.7,340,43,0
129,서산,2021-02-02 08:00,-5,3.9,340,40,0
129,서산,2021-02-02 09:00,-4.1,3.9,320,37,0
129,서산,2021-02-02 10:00,-3.3,4.3,320,38,0
129,서산,2021-02-02 11:00,-3.3,4.9,320,39,0
129,서산,2021-02-02 12:00,-2.9,7,320,39,0
129,서산,2021-02-02 13:00,-3,5,340,42,2
129,서산,2021-02-02 14:00,-2.5,5,320,46,0
129,서산,2021-02-02 15:00,-1.7,3.2,320,48,2
129,서산,2021-02-02 16:00,-2.2,4.4,290,48,4
129,서산,2021-02-02 17:00,-2.6,2.4,340,52,3
129,서산,2021-02-02 18:00,-3.5,.7,340,58,0
129,서산,2021-02-02 19:00,-4.4,.3,0,67,2
129,서산,2021-02-02 20:00,-4,1.7,180,69,0
129,서산,2021-02-02 21:00,-3.6,1.3,230,80,10
129,서산,2021-02-02 22:00,-4.4,.6,20,89,10
129,서산,2021-02-02 23:00,-4.4,1.2,360,88,10
129,서산,2021-02-03 00:00,-4.7,2.8,360,76,8
129,서산,2021-02-03 01:00,-5.7,1.1,20,76,0
